osu file format v14

[General]
AudioFilename: audio.ogg
AudioLeadIn: 0
PreviewTime: 29188
Countdown: 0
SampleSet: Normal
StackLeniency: 0.7
Mode: 1
LetterboxInBreaks: 0
WidescreenStoryboard: 1

[Editor]
DistanceSpacing: 1.5
BeatDivisor: 4
GridSize: 32
TimelineZoom: 0.8

[Metadata]
Title:Last Friday Night (T.G.I.F.) (Nightcore & Cut Ver.)
TitleUnicode:Last Friday Night (T.G.I.F.) (Nightcore & Cut Ver.)
Artist:Katy Perry
ArtistUnicode:Katy Perry
Creator:Erowdi
Version:Kantan
Source:
Tags:speed mix its it's it is english pop eng lfn tgif remix sped up electronic teenage dream thank goodness god
BeatmapID:5251691
BeatmapSetID:2416160

[Difficulty]
HPDrainRate:9
CircleSize:5
OverallDifficulty:3
ApproachRate:5
SliderMultiplier:1.4
SliderTickRate:1

[Events]
//Background and Video events
0,0,"124776888_p0.jpg",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples

[TimingPoints]
6134,377.928949357521,4,1,0,60,1,0
30227,-100,4,1,0,80,0,0
30321,-100,4,1,0,80,0,1
54508,-100,4,1,0,70,0,0


[HitObjects]
265,136,6133,5,8,0:0:0:0:
194,78,6889,1,0,0:0:0:0:
180,127,7645,1,0,0:0:0:0:
180,127,8401,1,8,0:0:0:0:
180,127,9157,1,8,0:0:0:0:
180,127,9913,1,0,0:0:0:0:
316,107,10669,1,8,0:0:0:0:
316,107,12180,1,8,0:0:0:0:
316,107,12936,1,8,0:0:0:0:
316,107,13692,1,0,0:0:0:0:
316,107,14448,1,0,0:0:0:0:
307,110,15204,1,8,0:0:0:0:
307,110,15960,1,0,0:0:0:0:
310,133,16715,1,0,0:0:0:0:
310,133,18227,1,0,0:0:0:0:
167,129,18605,1,0,0:0:0:0:
308,101,18983,1,8,0:0:0:0:
282,124,19739,5,0,0:0:0:0:
282,124,20117,1,8,0:0:0:0:
282,124,20495,1,0,0:0:0:0:
282,124,21251,1,8,0:0:0:0:
282,124,22384,1,0,0:0:0:0:
309,103,22762,1,8,0:0:0:0:
309,103,23518,1,0,0:0:0:0:
309,103,24274,1,8,0:0:0:0:
250,57,24652,1,8,0:0:0:0:
250,57,25030,1,0,0:0:0:0:
250,57,25786,1,8,0:0:0:0:
250,57,26164,1,0,0:0:0:0:
250,57,26542,1,8,0:0:0:0:
250,57,27297,1,0,0:0:0:0:
318,103,29187,1,8,0:0:0:0:
201,218,30321,5,12,0:0:0:0:
222,136,31077,1,8,0:0:0:0:
222,136,31455,1,0,0:0:0:0:
222,136,31833,1,8,0:0:0:0:
222,136,32588,1,0,0:0:0:0:
222,136,32966,1,0,0:0:0:0:
222,136,33344,1,8,0:0:0:0:
303,136,34100,1,0,0:0:0:0:
303,136,34478,1,8,0:0:0:0:
303,136,34856,1,0,0:0:0:0:
303,136,35612,1,8,0:0:0:0:
303,136,36368,1,0,0:0:0:0:
273,112,37124,1,8,0:0:0:0:
273,112,37502,1,8,0:0:0:0:
273,112,37879,1,0,0:0:0:0:
273,112,38635,1,8,0:0:0:0:
273,112,39013,1,0,0:0:0:0:
273,112,39391,1,8,0:0:0:0:
273,112,40147,1,0,0:0:0:0:
273,112,40525,1,0,0:0:0:0:
273,112,40903,1,8,0:0:0:0:
273,112,42415,1,12,0:0:0:0:
291,106,43170,1,0,0:0:0:0:
259,88,43548,1,0,0:0:0:0:
259,88,43926,1,8,0:0:0:0:
323,88,44304,1,8,0:0:0:0:
323,88,44682,1,0,0:0:0:0:
323,88,45438,1,8,0:0:0:0:
323,88,45816,1,0,0:0:0:0:
323,88,46194,1,0,0:0:0:0:
323,88,46572,1,8,0:0:0:0:
323,88,46950,1,0,0:0:0:0:
340,62,47706,1,8,0:0:0:0:
340,62,48461,1,0,0:0:0:0:
340,62,49217,1,8,0:0:0:0:
340,62,49595,1,0,0:0:0:0:
340,62,49973,1,8,0:0:0:0:
340,62,50351,1,0,0:0:0:0:
340,62,50729,1,8,0:0:0:0:
340,62,51485,1,0,0:0:0:0:
328,33,51863,1,8,0:0:0:0:
303,67,52619,1,8,0:0:0:0:
303,67,52997,1,0,0:0:0:0:
303,67,53375,1,8,0:0:0:0:
289,65,54508,1,4,0:0:0:0:
